date_id,full_date,quarter_name,day_of_week,day_name,is_weekend,week_of_year
20220508,2022-05-08,Q2,7,Sunday,0,18
20220509,2022-05-09,Q2,1,Monday,0,19
20220510,2022-05-10,Q2,2,Tuesday,0,19
20220511,2022-05-11,Q2,3,Wednesday,0,19
20220512,2022-05-12,Q2,4,Thursday,0,19
20220513,2022-05-13,Q2,5,Friday,1,19
20220514,2022-05-14,Q2,6,Saturday,1,19
20220515,2022-05-15,Q2,7,Sunday,0,19
20220516,2022-05-16,Q2,1,Monday,0,20
20220517,2022-05-17,Q2,2,Tuesday,0,20
20220518,2022-05-18,Q2,3,Wednesday,0,20
20220519,2022-05-19,Q2,4,Thursday,0,20
20220520,2022-05-20,Q2,5,Friday,1,20
20220521,2022-05-21,Q2,6,Saturday,1,20
20220522,2022-05-22,Q2,7,Sunday,0,20
20220523,2022-05-23,Q2,1,Monday,0,21
20220524,2022-05-24,Q2,2,Tuesday,0,21
20220525,2022-05-25,Q2,3,Wednesday,0,21
20220526,2022-05-26,Q2,4,Thursday,0,21
20220527,2022-05-27,Q2,5,Friday,1,21
20220528,2022-05-28,Q2,6,Saturday,1,21
20220529,2022-05-29,Q2,7,Sunday,0,21
20220530,2022-05-30,Q2,1,Monday,0,22
20220531,2022-05-31,Q2,2,Tuesday,0,22
20220601,2022-06-01,Q2,3,Wednesday,0,22
20220602,2022-06-02,Q2,4,Thursday,0,22
20220603,2022-06-03,Q2,5,Friday,1,22
20220604,2022-06-04,Q2,6,Saturday,1,22
20220605,2022-06-05,Q2,7,Sunday,0,22
20220606,2022-06-06,Q2,1,Monday,0,23
20220607,2022-06-07,Q2,2,Tuesday,0,23
20220608,2022-06-08,Q2,3,Wednesday,0,23
20220609,2022-06-09,Q2,4,Thursday,0,23
20220610,2022-06-10,Q2,5,Friday,1,23
20220611,2022-06-11,Q2,6,Saturday,1,23
20220612,2022-06-12,Q2,7,Sunday,0,23
20220613,2022-06-13,Q2,1,Monday,0,24
20220614,2022-06-14,Q2,2,Tuesday,0,24
20220615,2022-06-15,Q2,3,Wednesday,0,24
20220616,2022-06-16,Q2,4,Thursday,0,24
20220617,2022-06-17,Q2,5,Friday,1,24
20220618,2022-06-18,Q2,6,Saturday,1,24
20220619,2022-06-19,Q2,7,Sunday,0,24
20220620,2022-06-20,Q2,1,Monday,0,25
20220621,2022-06-21,Q2,2,Tuesday,0,25
20220622,2022-06-22,Q2,3,Wednesday,0,25
20220623,2022-06-23,Q2,4,Thursday,0,25
20220624,2022-06-24,Q2,5,Friday,1,25
20220625,2022-06-25,Q2,6,Saturday,1,25
20220626,2022-06-26,Q2,7,Sunday,0,25
20220627,2022-06-27,Q2,1,Monday,0,26
20220628,2022-06-28,Q2,2,Tuesday,0,26
20220629,2022-06-29,Q2,3,Wednesday,0,26
20220630,2022-06-30,Q2,4,Thursday,0,26
20220701,2022-07-01,Q3,5,Friday,1,26
20220702,2022-07-02,Q3,6,Saturday,1,26
20220703,2022-07-03,Q3,7,Sunday,0,26
20220704,2022-07-04,Q3,1,Monday,0,27
20220705,2022-07-05,Q3,2,Tuesday,0,27
20220706,2022-07-06,Q3,3,Wednesday,0,27
20220707,2022-07-07,Q3,4,Thursday,0,27
20220708,2022-07-08,Q3,5,Friday,1,27
20220709,2022-07-09,Q3,6,Saturday,1,27
20220710,2022-07-10,Q3,7,Sunday,0,27
20220711,2022-07-11,Q3,1,Monday,0,28
20220712,2022-07-12,Q3,2,Tuesday,0,28
20220713,2022-07-13,Q3,3,Wednesday,0,28
20220714,2022-07-14,Q3,4,Thursday,0,28
20220715,2022-07-15,Q3,5,Friday,1,28
20220716,2022-07-16,Q3,6,Saturday,1,28
20220717,2022-07-17,Q3,7,Sunday,0,28
20220718,2022-07-18,Q3,1,Monday,0,29
20220719,2022-07-19,Q3,2,Tuesday,0,29
20220720,2022-07-20,Q3,3,Wednesday,0,29
20220721,2022-07-21,Q3,4,Thursday,0,29
20220722,2022-07-22,Q3,5,Friday,1,29
20220723,2022-07-23,Q3,6,Saturday,1,29
20220724,2022-07-24,Q3,7,Sunday,0,29
20220725,2022-07-25,Q3,1,Monday,0,30
20220726,2022-07-26,Q3,2,Tuesday,0,30
20220727,2022-07-27,Q3,3,Wednesday,0,30
20220728,2022-07-28,Q3,4,Thursday,0,30
20220729,2022-07-29,Q3,5,Friday,1,30
20220730,2022-07-30,Q3,6,Saturday,1,30
20220731,2022-07-31,Q3,7,Sunday,0,30
20220801,2022-08-01,Q3,1,Monday,0,31
20220802,2022-08-02,Q3,2,Tuesday,0,31
20220803,2022-08-03,Q3,3,Wednesday,0,31
20220804,2022-08-04,Q3,4,Thursday,0,31
20220805,2022-08-05,Q3,5,Friday,1,31
20220806,2022-08-06,Q3,6,Saturday,1,31
20220807,2022-08-07,Q3,7,Sunday,0,31
20220808,2022-08-08,Q3,1,Monday,0,32
20220809,2022-08-09,Q3,2,Tuesday,0,32
20220810,2022-08-10,Q3,3,Wednesday,0,32
20220811,2022-08-11,Q3,4,Thursday,0,32
20220812,2022-08-12,Q3,5,Friday,1,32
20220813,2022-08-13,Q3,6,Saturday,1,32
20220814,2022-08-14,Q3,7,Sunday,0,32
20220815,2022-08-15,Q3,1,Monday,0,33
20220816,2022-08-16,Q3,2,Tuesday,0,33
20220817,2022-08-17,Q3,3,Wednesday,0,33
20220818,2022-08-18,Q3,4,Thursday,0,33
20220819,2022-08-19,Q3,5,Friday,1,33
20220820,2022-08-20,Q3,6,Saturday,1,33
20220821,2022-08-21,Q3,7,Sunday,0,33
20220822,2022-08-22,Q3,1,Monday,0,34
20220823,2022-08-23,Q3,2,Tuesday,0,34
20220824,2022-08-24,Q3,3,Wednesday,0,34
20220825,2022-08-25,Q3,4,Thursday,0,34
20220826,2022-08-26,Q3,5,Friday,1,34
20220827,2022-08-27,Q3,6,Saturday,1,34
20220828,2022-08-28,Q3,7,Sunday,0,34
20220829,2022-08-29,Q3,1,Monday,0,35
20220830,2022-08-30,Q3,2,Tuesday,0,35
20220831,2022-08-31,Q3,3,Wednesday,0,35
20220901,2022-09-01,Q3,4,Thursday,0,35
20220902,2022-09-02,Q3,5,Friday,1,35
20220903,2022-09-03,Q3,6,Saturday,1,35
20220904,2022-09-04,Q3,7,Sunday,0,35
20220905,2022-09-05,Q3,1,Monday,0,36
20220906,2022-09-06,Q3,2,Tuesday,0,36
20220907,2022-09-07,Q3,3,Wednesday,0,36
20220908,2022-09-08,Q3,4,Thursday,0,36
20220909,2022-09-09,Q3,5,Friday,1,36
20220910,2022-09-10,Q3,6,Saturday,1,36
20220911,2022-09-11,Q3,7,Sunday,0,36
20220912,2022-09-12,Q3,1,Monday,0,37
20220913,2022-09-13,Q3,2,Tuesday,0,37
20220914,2022-09-14,Q3,3,Wednesday,0,37
20220915,2022-09-15,Q3,4,Thursday,0,37
20220916,2022-09-16,Q3,5,Friday,1,37
20220917,2022-09-17,Q3,6,Saturday,1,37
20220918,2022-09-18,Q3,7,Sunday,0,37
20220919,2022-09-19,Q3,1,Monday,0,38
20220920,2022-09-20,Q3,2,Tuesday,0,38
20220921,2022-09-21,Q3,3,Wednesday,0,38
20220922,2022-09-22,Q3,4,Thursday,0,38
20220923,2022-09-23,Q3,5,Friday,1,38
20220924,2022-09-24,Q3,6,Saturday,1,38
20220925,2022-09-25,Q3,7,Sunday,0,38
20220926,2022-09-26,Q3,1,Monday,0,39
20220927,2022-09-27,Q3,2,Tuesday,0,39
20220928,2022-09-28,Q3,3,Wednesday,0,39
20220929,2022-09-29,Q3,4,Thursday,0,39
20220930,2022-09-30,Q3,5,Friday,1,39
20221001,2022-10-01,Q4,6,Saturday,1,39
20221002,2022-10-02,Q4,7,Sunday,0,39
20221003,2022-10-03,Q4,1,Monday,0,40
20221004,2022-10-04,Q4,2,Tuesday,0,40
20221005,2022-10-05,Q4,3,Wednesday,0,40
20221006,2022-10-06,Q4,4,Thursday,0,40
20221007,2022-10-07,Q4,5,Friday,1,40
20221008,2022-10-08,Q4,6,Saturday,1,40
20221009,2022-10-09,Q4,7,Sunday,0,40
20221010,2022-10-10,Q4,1,Monday,0,41
20221011,2022-10-11,Q4,2,Tuesday,0,41
20221012,2022-10-12,Q4,3,Wednesday,0,41
20221013,2022-10-13,Q4,4,Thursday,0,41
20221014,2022-10-14,Q4,5,Friday,1,41
20221015,2022-10-15,Q4,6,Saturday,1,41
20221016,2022-10-16,Q4,7,Sunday,0,41
20221017,2022-10-17,Q4,1,Monday,0,42
20221018,2022-10-18,Q4,2,Tuesday,0,42
20221019,2022-10-19,Q4,3,Wednesday,0,42
20221020,2022-10-20,Q4,4,Thursday,0,42
20221021,2022-10-21,Q4,5,Friday,1,42
20221022,2022-10-22,Q4,6,Saturday,1,42
20221023,2022-10-23,Q4,7,Sunday,0,42
20221024,2022-10-24,Q4,1,Monday,0,43
20221025,2022-10-25,Q4,2,Tuesday,0,43
20221026,2022-10-26,Q4,3,Wednesday,0,43
20221027,2022-10-27,Q4,4,Thursday,0,43
20221028,2022-10-28,Q4,5,Friday,1,43
20221029,2022-10-29,Q4,6,Saturday,1,43
20221030,2022-10-30,Q4,7,Sunday,0,43
20221031,2022-10-31,Q4,1,Monday,0,44
20221101,2022-11-01,Q4,2,Tuesday,0,44
20221102,2022-11-02,Q4,3,Wednesday,0,44
20221103,2022-11-03,Q4,4,Thursday,0,44
20221104,2022-11-04,Q4,5,Friday,1,44
20221105,2022-11-05,Q4,6,Saturday,1,44
20221106,2022-11-06,Q4,7,Sunday,0,44
20221107,2022-11-07,Q4,1,Monday,0,45
20221108,2022-11-08,Q4,2,Tuesday,0,45
20221109,2022-11-09,Q4,3,Wednesday,0,45
20221110,2022-11-10,Q4,4,Thursday,0,45
20221111,2022-11-11,Q4,5,Friday,1,45
20221112,2022-11-12,Q4,6,Saturday,1,45
20221113,2022-11-13,Q4,7,Sunday,0,45
20221114,2022-11-14,Q4,1,Monday,0,46
20221115,2022-11-15,Q4,2,Tuesday,0,46
20221116,2022-11-16,Q4,3,Wednesday,0,46
20221117,2022-11-17,Q4,4,Thursday,0,46
20221118,2022-11-18,Q4,5,Friday,1,46
20221119,2022-11-19,Q4,6,Saturday,1,46
20221120,2022-11-20,Q4,7,Sunday,0,46
20221121,2022-11-21,Q4,1,Monday,0,47
20221122,2022-11-22,Q4,2,Tuesday,0,47
20221123,2022-11-23,Q4,3,Wednesday,0,47
20221124,2022-11-24,Q4,4,Thursday,0,47
20221125,2022-11-25,Q4,5,Friday,1,47
20221126,2022-11-26,Q4,6,Saturday,1,47
20221127,2022-11-27,Q4,7,Sunday,0,47
20221128,2022-11-28,Q4,1,Monday,0,48
20221129,2022-11-29,Q4,2,Tuesday,0,48
20221130,2022-11-30,Q4,3,Wednesday,0,48
20221201,2022-12-01,Q4,4,Thursday,0,48
20221202,2022-12-02,Q4,5,Friday,1,48
20221203,2022-12-03,Q4,6,Saturday,1,48
20221204,2022-12-04,Q4,7,Sunday,0,48
20221205,2022-12-05,Q4,1,Monday,0,49
20221206,2022-12-06,Q4,2,Tuesday,0,49
20221207,2022-12-07,Q4,3,Wednesday,0,49
20221208,2022-12-08,Q4,4,Thursday,0,49
20221209,2022-12-09,Q4,5,Friday,1,49
20221210,2022-12-10,Q4,6,Saturday,1,49
20221211,2022-12-11,Q4,7,Sunday,0,49
20221212,2022-12-12,Q4,1,Monday,0,50
20221213,2022-12-13,Q4,2,Tuesday,0,50
20221214,2022-12-14,Q4,3,Wednesday,0,50
20221215,2022-12-15,Q4,4,Thursday,0,50
20221216,2022-12-16,Q4,5,Friday,1,50
20221217,2022-12-17,Q4,6,Saturday,1,50
20221218,2022-12-18,Q4,7,Sunday,0,50
20221219,2022-12-19,Q4,1,Monday,0,51
20221220,2022-12-20,Q4,2,Tuesday,0,51
20221221,2022-12-21,Q4,3,Wednesday,0,51
20221222,2022-12-22,Q4,4,Thursday,0,51
20221223,2022-12-23,Q4,5,Friday,1,51
20221224,2022-12-24,Q4,6,Saturday,1,51
20221225,2022-12-25,Q4,7,Sunday,0,51
20221226,2022-12-26,Q4,1,Monday,0,52
20221227,2022-12-27,Q4,2,Tuesday,0,52
20221228,2022-12-28,Q4,3,Wednesday,0,52
20221229,2022-12-29,Q4,4,Thursday,0,52
20221230,2022-12-30,Q4,5,Friday,1,52
20221231,2022-12-31,Q4,6,Saturday,1,52
20230101,2023-01-01,Q1,7,Sunday,0,52
20230102,2023-01-02,Q1,1,Monday,0,1
20230103,2023-01-03,Q1,2,Tuesday,0,1
20230104,2023-01-04,Q1,3,Wednesday,0,1
20230105,2023-01-05,Q1,4,Thursday,0,1
20230106,2023-01-06,Q1,5,Friday,1,1
20230107,2023-01-07,Q1,6,Saturday,1,1
20230108,2023-01-08,Q1,7,Sunday,0,1
20230109,2023-01-09,Q1,1,Monday,0,2
20230110,2023-01-10,Q1,2,Tuesday,0,2
20230111,2023-01-11,Q1,3,Wednesday,0,2
20230112,2023-01-12,Q1,4,Thursday,0,2
20230113,2023-01-13,Q1,5,Friday,1,2
20230114,2023-01-14,Q1,6,Saturday,1,2
20230115,2023-01-15,Q1,7,Sunday,0,2
20230116,2023-01-16,Q1,1,Monday,0,3
20230117,2023-01-17,Q1,2,Tuesday,0,3
20230118,2023-01-18,Q1,3,Wednesday,0,3
20230119,2023-01-19,Q1,4,Thursday,0,3
20230120,2023-01-20,Q1,5,Friday,1,3
20230121,2023-01-21,Q1,6,Saturday,1,3
20230122,2023-01-22,Q1,7,Sunday,0,3
20230123,2023-01-23,Q1,1,Monday,0,4
20230124,2023-01-24,Q1,2,Tuesday,0,4
20230125,2023-01-25,Q1,3,Wednesday,0,4
20230126,2023-01-26,Q1,4,Thursday,0,4
20230127,2023-01-27,Q1,5,Friday,1,4
20230128,2023-01-28,Q1,6,Saturday,1,4
20230129,2023-01-29,Q1,7,Sunday,0,4
20230130,2023-01-30,Q1,1,Monday,0,5
20230131,2023-01-31,Q1,2,Tuesday,0,5
20230201,2023-02-01,Q1,3,Wednesday,0,5
20230202,2023-02-02,Q1,4,Thursday,0,5
20230203,2023-02-03,Q1,5,Friday,1,5
20230204,2023-02-04,Q1,6,Saturday,1,5
20230205,2023-02-05,Q1,7,Sunday,0,5
20230206,2023-02-06,Q1,1,Monday,0,6
20230207,2023-02-07,Q1,2,Tuesday,0,6
20230208,2023-02-08,Q1,3,Wednesday,0,6
20230209,2023-02-09,Q1,4,Thursday,0,6
20230210,2023-02-10,Q1,5,Friday,1,6
20230211,2023-02-11,Q1,6,Saturday,1,6
20230212,2023-02-12,Q1,7,Sunday,0,6
20230213,2023-02-13,Q1,1,Monday,0,7
20230214,2023-02-14,Q1,2,Tuesday,0,7
20230215,2023-02-15,Q1,3,Wednesday,0,7
20230216,2023-02-16,Q1,4,Thursday,0,7
20230217,2023-02-17,Q1,5,Friday,1,7
20230218,2023-02-18,Q1,6,Saturday,1,7
20230219,2023-02-19,Q1,7,Sunday,0,7
20230220,2023-02-20,Q1,1,Monday,0,8
20230221,2023-02-21,Q1,2,Tuesday,0,8
20230222,2023-02-22,Q1,3,Wednesday,0,8
20230223,2023-02-23,Q1,4,Thursday,0,8
20230224,2023-02-24,Q1,5,Friday,1,8
20230225,2023-02-25,Q1,6,Saturday,1,8
20230226,2023-02-26,Q1,7,Sunday,0,8
20230227,2023-02-27,Q1,1,Monday,0,9
20230228,2023-02-28,Q1,2,Tuesday,0,9
20230301,2023-03-01,Q1,3,Wednesday,0,9
20230302,2023-03-02,Q1,4,Thursday,0,9
20230303,2023-03-03,Q1,5,Friday,1,9
20230304,2023-03-04,Q1,6,Saturday,1,9
20230305,2023-03-05,Q1,7,Sunday,0,9
20230306,2023-03-06,Q1,1,Monday,0,10
20230307,2023-03-07,Q1,2,Tuesday,0,10
20230308,2023-03-08,Q1,3,Wednesday,0,10
20230309,2023-03-09,Q1,4,Thursday,0,10
20230310,2023-03-10,Q1,5,Friday,1,10
20230311,2023-03-11,Q1,6,Saturday,1,10
20230312,2023-03-12,Q1,7,Sunday,0,10
20230313,2023-03-13,Q1,1,Monday,0,11
20230314,2023-03-14,Q1,2,Tuesday,0,11
20230315,2023-03-15,Q1,3,Wednesday,0,11
20230316,2023-03-16,Q1,4,Thursday,0,11
20230317,2023-03-17,Q1,5,Friday,1,11
20230318,2023-03-18,Q1,6,Saturday,1,11
20230319,2023-03-19,Q1,7,Sunday,0,11
20230320,2023-03-20,Q1,1,Monday,0,12
20230321,2023-03-21,Q1,2,Tuesday,0,12
20230322,2023-03-22,Q1,3,Wednesday,0,12
20230323,2023-03-23,Q1,4,Thursday,0,12
20230324,2023-03-24,Q1,5,Friday,1,12
20230325,2023-03-25,Q1,6,Saturday,1,12
20230326,2023-03-26,Q1,7,Sunday,0,12
20230327,2023-03-27,Q1,1,Monday,0,13
20230328,2023-03-28,Q1,2,Tuesday,0,13
20230329,2023-03-29,Q1,3,Wednesday,0,13
20230330,2023-03-30,Q1,4,Thursday,0,13
20230331,2023-03-31,Q1,5,Friday,1,13
20230401,2023-04-01,Q2,6,Saturday,1,13
20230402,2023-04-02,Q2,7,Sunday,0,13
20230403,2023-04-03,Q2,1,Monday,0,14
20230404,2023-04-04,Q2,2,Tuesday,0,14
20230405,2023-04-05,Q2,3,Wednesday,0,14
20230406,2023-04-06,Q2,4,Thursday,0,14
20230407,2023-04-07,Q2,5,Friday,1,14
20230408,2023-04-08,Q2,6,Saturday,1,14
20230409,2023-04-09,Q2,7,Sunday,0,14
20230410,2023-04-10,Q2,1,Monday,0,15
20230411,2023-04-11,Q2,2,Tuesday,0,15
20230412,2023-04-12,Q2,3,Wednesday,0,15
20230413,2023-04-13,Q2,4,Thursday,0,15
20230414,2023-04-14,Q2,5,Friday,1,15
20230415,2023-04-15,Q2,6,Saturday,1,15
20230416,2023-04-16,Q2,7,Sunday,0,15
20230417,2023-04-17,Q2,1,Monday,0,16
20230418,2023-04-18,Q2,2,Tuesday,0,16
20230419,2023-04-19,Q2,3,Wednesday,0,16
20230420,2023-04-20,Q2,4,Thursday,0,16
20230421,2023-04-21,Q2,5,Friday,1,16
20230422,2023-04-22,Q2,6,Saturday,1,16
20230423,2023-04-23,Q2,7,Sunday,0,16
20230424,2023-04-24,Q2,1,Monday,0,17
20230425,2023-04-25,Q2,2,Tuesday,0,17
20230426,2023-04-26,Q2,3,Wednesday,0,17
20230427,2023-04-27,Q2,4,Thursday,0,17
20230428,2023-04-28,Q2,5,Friday,1,17
20230429,2023-04-29,Q2,6,Saturday,1,17
20230430,2023-04-30,Q2,7,Sunday,0,17
20230501,2023-05-01,Q2,1,Monday,0,18
20230502,2023-05-02,Q2,2,Tuesday,0,18
20230503,2023-05-03,Q2,3,Wednesday,0,18
20230504,2023-05-04,Q2,4,Thursday,0,18
20230505,2023-05-05,Q2,5,Friday,1,18
20230506,2023-05-06,Q2,6,Saturday,1,18
20230507,2023-05-07,Q2,7,Sunday,0,18
20230508,2023-05-08,Q2,1,Monday,0,19
20230509,2023-05-09,Q2,2,Tuesday,0,19
20230510,2023-05-10,Q2,3,Wednesday,0,19
20230511,2023-05-11,Q2,4,Thursday,0,19
20230512,2023-05-12,Q2,5,Friday,1,19
20230513,2023-05-13,Q2,6,Saturday,1,19
20230514,2023-05-14,Q2,7,Sunday,0,19
20230515,2023-05-15,Q2,1,Monday,0,20
20230516,2023-05-16,Q2,2,Tuesday,0,20
20230517,2023-05-17,Q2,3,Wednesday,0,20
20230518,2023-05-18,Q2,4,Thursday,0,20
20230519,2023-05-19,Q2,5,Friday,1,20
20230520,2023-05-20,Q2,6,Saturday,1,20
20230521,2023-05-21,Q2,7,Sunday,0,20
20230522,2023-05-22,Q2,1,Monday,0,21
20230523,2023-05-23,Q2,2,Tuesday,0,21
20230524,2023-05-24,Q2,3,Wednesday,0,21
20230525,2023-05-25,Q2,4,Thursday,0,21
20230526,2023-05-26,Q2,5,Friday,1,21
20230527,2023-05-27,Q2,6,Saturday,1,21
20230528,2023-05-28,Q2,7,Sunday,0,21
20230529,2023-05-29,Q2,1,Monday,0,22
20230530,2023-05-30,Q2,2,Tuesday,0,22
20230531,2023-05-31,Q2,3,Wednesday,0,22
20230601,2023-06-01,Q2,4,Thursday,0,22
20230602,2023-06-02,Q2,5,Friday,1,22
20230603,2023-06-03,Q2,6,Saturday,1,22
20230604,2023-06-04,Q2,7,Sunday,0,22
20230605,2023-06-05,Q2,1,Monday,0,23
20230606,2023-06-06,Q2,2,Tuesday,0,23
20230607,2023-06-07,Q2,3,Wednesday,0,23
20230608,2023-06-08,Q2,4,Thursday,0,23
20230609,2023-06-09,Q2,5,Friday,1,23
20230610,2023-06-10,Q2,6,Saturday,1,23
20230611,2023-06-11,Q2,7,Sunday,0,23
20230612,2023-06-12,Q2,1,Monday,0,24
20230613,2023-06-13,Q2,2,Tuesday,0,24
20230614,2023-06-14,Q2,3,Wednesday,0,24
20230615,2023-06-15,Q2,4,Thursday,0,24
20230616,2023-06-16,Q2,5,Friday,1,24
20230617,2023-06-17,Q2,6,Saturday,1,24
20230618,2023-06-18,Q2,7,Sunday,0,24
20230619,2023-06-19,Q2,1,Monday,0,25
